program_abbr,semester_no,semester_text,department_value,department_text,numeric_code,display_code,course_number,course_name,ects_credit,credit,level,type,source_url,retrieved_at_utc,content_path
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710551,CENG 551,551,SYSTEM DEVELOPMENT WITH ABSTRACT DESIG (SOYUT TASARIM İLE SİSTEM GELİŞTİRME ),8.0,"3.00 (3.00,0.00,)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710562,CENG 562,562,MACHINE LEARNING (MAKİNE ÖĞRENMESİ ),8.0,"3.00 (3.00,0.00,)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710565,CENG 565,565,INTRODUCTION TO THEORY OF COMPUTATION (HESAPLAMA TEORİSİNE GİRİŞ ),8.0,"3.00 (3.00,0.00,)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710580,CENG 580,580,MULTI AGENT SYSTEMS (ÇOK AKTÖRLÜ SİSTEMLER ),8.0,"3.00 (3.00,0.00,0.00)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710589,CENG 589,589,DIGITAL GEOMETRY PROCESSING (DİJİTAL GEOMETRİ İŞLEME ),8.0,"3.00 (3.00,0.00,0.00)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710590,CENG 590,590,RESEARCH METHODS AND ETHICS (ARAŞTIRMA YÖNTEMLERİ VE ETİK ),8.0,"3.00 (0.00,0.00,0.00)",Graduate/Yüksek Lisans+Doktora,Ethics / Etik,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710591,CENG 591,591,GRADUATE SEMINAR (LİSANSÜSTÜ SEMİNER ),10.0,"0.00 (0.00,2.00,0.00)",Graduate/Yüksek Lisans+Doktora,Seminar / Seminer,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710596,CENG 596,596,INFORMATION RETRIEVAL (BİLGİ GETİRİMİ ),8.0,"3.00 (3.00,0.00,0.00)",Graduate/Yüksek Lisans+Doktora,Master's / Yüksek Lisans,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710600,CENG 600,600,PH.D. THESIS (DOKTORA TEZİ ),130.0,"0.00 (0.00,0.00,)",Doctoral/Doktora,Ph.D Thesis / Doktora Tez,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
CENG,20242,2024-2025 Spring,571,Computer Engineering/Bilgisayar Mühendisliği,5710691,CENG 691,691,GRADUATE SEMINER (LİSANSÜSTÜ SEMİNER ),10.0,"0.00 (0.00,2.00,0.00)",Doctoral/Doktora,Seminar / Seminer,https://student.metu.edu.tr/proxy/View_Program_Course_Details_64/main.php,2026-05-10T19:41:24+00:00,data\raw\sais\offerings\20242\CENG\20260510T194124Z\program.html
